question_English,answer_English,question_Hindi,answer_Hindi
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project of the Project Sakhi Circle to plan to develop market in PADMA, under the JurisDician plan in padma, under the JurisDician","The scheme to develop a market for materials manufactured by The Sakhi troupe. Project involves the allocation of funds for development in padma, under the jurisdiction of Barhi.The proposed project aims to plan to develop markets for materials manufactured by Sakhi troupe.The recommended Amount for the Project is 18,750, with an anticipated company of 2022. Currently, the project status is reported as complete.","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना में विकास के लिए धन का आवंटन बरही क्षेत्र के पद्म में हो रहा है। प्रस्तुत परियोजना का उद्देश्य सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना है। परियोजना के लिए सिफारिश की गई राशि 18,750 है, जिसका पूरा होने का अनुमानित वर्ष है 2022। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommented, Year Recommended for Completion, and Project Status of the Project Purpose, Miscellaneous work for upgradation of caste Balak Balak hostel, located in Nawabganj.In Sadar, under the jurisdiction of hazaribagh?","The pillow behind the tomb, various works for upgrading the caste boys hostel located in Nawabganj.Project involves the allocation of funds for development in sadar, under the jurisdiction of hazaribagh.The proposed project aims to the pillow, behind the pillow tomb, various works for upgrading the caste boys hostel located in Nawabganj.The recommended Amount for the Project is 5,983,800, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","तकिया मजार के पीछे, नवाबगंज में अवस्थित अनु0जाति बालक छात्रावास के उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","तकिया मजार के पीछे, नवाबगंज में अवस्थित अनु0जाति बालक छात्रावास के उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के सदर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य तकिया मजार के पीछे, नवाबगंज में अवस्थित अनु0जाति बालक छात्रावास के उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 5,983,800 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, amount recommended, year recommended for completion, and project status of the project सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना in Barkagaon, under the jurisdiction of बड़कागांव?","The scheme to develop a market for materials manufactured by the Sakhi troupe. Project involves the allocation of funds for development in barkagaon, under the jurisdiction of Barkagaon.The proposed project aims to plan to develop markets for materials manufactured by Sakhi troupe.The recommended Amount for the Project is 18,750, with an anticipated company of 2022. Currently, the project status is reported as complete.","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना है। परियोजना के लिए सिफारिश की गई राशि 18,750 है, जिसका पूरा होने का अनुमानित वर्ष है 2022। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommented, Year Recommended for Completion, and Project Status of the Project for various activities to upgrade the backward caste girls hostels.In Sadar, under the jurisdiction of hazaribagh?","Various works for upgrading the Backward Caste Girls Hostel located in the KBB Women's College campus.Project involves the allocation of funds for development in sadar, under the jurisdiction of hazaribagh.The Proposed Project AIMS to KB B.B. Women's College campus is a variety of work for upgrading the Backward Caste Girls Hostel.The recommended Amount for the Project is 1,450,100, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","के0बी0 महिला महाविद्यालय परिसर में अवस्थित पिछड़ी जाति बालिका छात्रावास के उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","के0बी0 महिला महाविद्यालय परिसर में अवस्थित पिछड़ी जाति बालिका छात्रावास के उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के सदर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य के0बी0 महिला महाविद्यालय परिसर में अवस्थित पिछड़ी जाति बालिका छात्रावास के उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 1,450,100 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project of the Project Sakhi Circle to develop market for the materials manufactured by Sakhi circle in Barhiis, the JurisDicion of the JurisDician plan to develop the market for in the jurisdic","The scheme to develop a market for materials manufactured by The Sakhi troupe. Project involves the allocation of funds for development in barhi, under the jurisdiction of Barhi.The proposed project aims to plan to develop markets for materials manufactured by Sakhi troupe.The recommended Amount for the Project is 18,750, with an anticipated company of 2023. Currently, the project status is reported as complete.","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना में विकास के लिए धन का आवंटन बरही क्षेत्र के बरही में हो रहा है। प्रस्तुत परियोजना का उद्देश्य सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना है। परियोजना के लिए सिफारिश की गई राशि 18,750 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project Daulat Mahato B.Ad.In Vishnugarh, under the jurisdiction of Mandu?","The diverse work for upgradation of the caste girls hostel located in the Daulat Mahato B.D. College campus.Project involves the allocation of funds for development in vishnugarh, under the jurisdiction of mandu.The proposed project aims to Daulat Mahato B.D.K.The recommended Amount for the Project is 1,596,225, with an anticipated completes year of 2023. Currently, the project status is reported as ongoing.","दौलत महतो बी0एड0 कॉलेज परिसर में अवस्थित अनु0जन जाति बालिका छात्रावास के उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","दौलत महतो बी0एड0 कॉलेज परिसर में अवस्थित अनु0जन जाति बालिका छात्रावास के उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के विष्णुगढ़ में हो रहा है। प्रस्तुत परियोजना का उद्देश्य दौलत महतो बी0एड0 कॉलेज परिसर में अवस्थित अनु0जन जाति बालिका छात्रावास के उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 1,596,225 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, amount recommended, year recommended for completion, and project status of the project सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना in Vishnugarh, under the jurisdiction of मांडू?","The scheme to develop a market for materials manufactured by the Sakhi troupe. Project involves the allocation of funds for development in vishnugarh, under the jurisdiction of Mandu.The proposed project aims to plan to develop markets for materials manufactured by Sakhi troupe.The recommended Amount for the Project is 18,750, with an anticipated company of 2021. Currently, the project status is reported as complete.","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के विष्णुगढ़ में हो रहा है। प्रस्तुत परियोजना का उद्देश्य सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना है। परियोजना के लिए सिफारिश की गई राशि 18,750 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated for Completion, and Project Status of the Project Sakhi Circle to plan to develop markets for the ingredients manufactured by Sakhi circle in sadar, under the Jurisdication of Hazaria ?","The scheme to develop a market for materials manufactured by the Sakhi troupe. Project involves the allocation of funds for development in sadar, under the jurisdiction of hazaribagh.The proposed project aims to plan to develop markets for materials manufactured by Sakhi troupe.The recommended Amount for the Project is 18,750, with an anticipated company of 2021. Currently, the project status is reported as complete.","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के सदर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य सखी मंडली द्वारा निर्मित सामग्रियों हेतु बाजार विकसित करने की योजना है। परियोजना के लिए सिफारिश की गई राशि 18,750 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project Divisional Library (Rukmani Bhavan).In Sadar, under the jurisdiction of hazaribagh?","The divisional library (Rukmani Bhavan), various works for upgradation of Hazaribagh.Project involves the allocation of funds for development in sadar, under the jurisdiction of hazaribagh.The proposed project aims to divisional library (Rukmani Bhavan), various works for upgradation of Hazaribagh.The recommended Amount for the Project is 7,336,200, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","प्रमण्डलीय पुस्तकालय (रूक्मणी भवन), हजारीबाग का उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","प्रमण्डलीय पुस्तकालय (रूक्मणी भवन), हजारीबाग का उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के सदर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य प्रमण्डलीय पुस्तकालय (रूक्मणी भवन), हजारीबाग का उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 7,336,200 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, amount recommended, year recommended for completion, and project status of the project हजारीबाग झील नं0-02 की साफ-सफाई in Sadar, under the jurisdiction of Hazaribagh?","The हजारीबाग झील नं0-02 की साफ-सफाई project involves the allocation of funds for development in Sadar, under the jurisdiction of Hazaribagh. The proposed project aims to हजारीबाग झील नं0-02 की साफ-सफाई. The recommended amount for the project is 643,600, with an anticipated completion year of 2021. Currently, the project status is reported as Completed.","हजारीबाग झील नं0-02 की साफ-सफाई परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","हजारीबाग झील नं0-02 की साफ-सफाई परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के सदर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य हजारीबाग झील नं0-02 की साफ-सफाई है। परियोजना के लिए सिफारिश की गई राशि 643,600 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, amount recommended, year recommended for completion, and project status of the project हजारीबाग झील नं0-04 की साफ-सफाई in Sadar, under the jurisdiction of Hazaribagh?","The हजारीबाग झील नं0-04 की साफ-सफाई project involves the allocation of funds for development in Sadar, under the jurisdiction of Hazaribagh. The proposed project aims to हजारीबाग झील नं0-04 की साफ-सफाई. The recommended amount for the project is 1,851,500, with an anticipated completion year of 2021. Currently, the project status is reported as Completed.","हजारीबाग झील नं0-04 की साफ-सफाई परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","हजारीबाग झील नं0-04 की साफ-सफाई परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के सदर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य हजारीबाग झील नं0-04 की साफ-सफाई है। परियोजना के लिए सिफारिश की गई राशि 1,851,500 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project Project +2 High School, Rampur.In Chouparan, under the jurisdiction of Barhi?","The project +2 High School, Rampur Miscellaneous works.Project Involves The Allocation of Funds for Development in Chouparan, under the jurisdiction of Barhi.The proposed project aims to project +2 High School, Rampur various works for upgradation.The recommended Amount for the Project is 7,570,800, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","परियोजना +2 उच्च विद्यालय, रामपुर के उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","परियोजना +2 उच्च विद्यालय, रामपुर के उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन बरही क्षेत्र के हुपानन में हो रहा है। प्रस्तुत परियोजना का उद्देश्य परियोजना +2 उच्च विद्यालय, रामपुर के उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 7,570,800 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommented, Year Recommended for Completion, and Project Status of the Project of the Projects of the Project Block-Block-Burds. Kagaon, UnderThe Jurisdiction of Barkagaon?","Construction of PCC Path from Chaman Ganjhu to Gawant Devi in Panchayat Ango village Uraj under the block-Blockagaon Project Involves The Allocation of Funds for Development in Barkagaon, Under the Jurisdication of Barkagaon.The proposed project aims to construct the PCC Path from Chaman Ganjhu to Gawant Devi in Panchayat Ango village Uraj under Block-Blockagaon.The recommended Amount for the Project is 7,286,800, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","प्रखण्ड-बड़कागांव अन्तर्गत पंचायत आंगो ग्राम उरेज में चमन गंझू से गवांत देवी तक पी0सी0सी0 पथ का निर्माण परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","प्रखण्ड-बड़कागांव अन्तर्गत पंचायत आंगो ग्राम उरेज में चमन गंझू से गवांत देवी तक पी0सी0सी0 पथ का निर्माण परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य प्रखण्ड-बड़कागांव अन्तर्गत पंचायत आंगो ग्राम उरेज में चमन गंझू से गवांत देवी तक पी0सी0सी0 पथ का निर्माण है। परियोजना के लिए सिफारिश की गई राशि 7,286,800 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated For Completion, and Project Status of the Project of the Project Block-Kerdari. Er the jurisdiction of Barkagaon?","The block-capermaker under the Creator Garrikala under the PWD road to the mosque to construct the road from the allocation of funds for development in keredari, under the jurisdiction of Barkagaon.Construction of the road from PWD Road to Mosque in Panchayat Garrikala under the Block-Cerendari.The recommended Amount for the Project is 9,989,800, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","प्रखण्ड-केरेडारी अन्तर्गत पंचायत गर्रीकला में पी0डब्लूडी0 रोड से मस्जिद तक पथ का निर्माण परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","प्रखण्ड-केरेडारी अन्तर्गत पंचायत गर्रीकला में पी0डब्लूडी0 रोड से मस्जिद तक पथ का निर्माण परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य प्रखण्ड-केरेडारी अन्तर्गत पंचायत गर्रीकला में पी0डब्लूडी0 रोड से मस्जिद तक पथ का निर्माण है। परियोजना के लिए सिफारिश की गई राशि 9,989,800 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project Girls Middle School, Kerdari.In Keredari, under the jurisdiction of Barkagaon?","The girls middle school, various works for upgradation of Keredari.Project involves the allocation of funds for development in keredari, under the jurisdiction of Barkagaon.The proposed project aims to girls middle school, various works for upgradation of Keredari.The recommended Amount for the Project is 9,994,700, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","कन्या मध्य विद्यालय, केरेडारी के उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","कन्या मध्य विद्यालय, केरेडारी के उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य कन्या मध्य विद्यालय, केरेडारी के उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 9,994,700 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated for Completion, and Project Status of the Project Block-Dadi under the village Kurkutta in the village Kurkutta, in the road to the road, the road from the Kurkutta, in the Jur Isdiction of Mandu?","The block-construction of the village Kurkutta under the block-Dadi to the construction of the road from Tehtand Mor to Kurkutta Basti, the allocation of funds for development in dadi, under the jurisdiction of Mandu.The Proposed Project AIMS to Tahartand Mor to Kurkutta Basti in village Kurkutta under block.The recommended Amount for the Project is 9,766,500, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","प्रखण्ड-डाड़ी अन्तर्गत ग्राम कुरकुटटा में टेहराटांड मोड़ से कुरकुट्टा बस्ती तक पथ निर्माण परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","प्रखण्ड-डाड़ी अन्तर्गत ग्राम कुरकुटटा में टेहराटांड मोड़ से कुरकुट्टा बस्ती तक पथ निर्माण परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के बनना में हो रहा है। प्रस्तुत परियोजना का उद्देश्य प्रखण्ड-डाड़ी अन्तर्गत ग्राम कुरकुटटा में टेहराटांड मोड़ से कुरकुट्टा बस्ती तक पथ निर्माण है। परियोजना के लिए सिफारिश की गई राशि 9,766,500 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, vidhan Sabha, mandal, amount recommended, year recommended for completion, and project status of the project under the project under the block, Dhubha (Jarba) Nala (Jarba) nderThe Jurisdiction of Mandu?","The block-construction under the block-Churchu to Dhubha (Jarba) Nala via Fusari Indra to Dhubha (Jarba) Nala.The proposed project aims to the construction of the road from 15 miles to Dhubha (Jarba) Nala via Fusari Indra under Block-Churchu.The recommended Amount for the Project is 9,003,900, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","प्रखण्ड-चुरचू अन्तर्गत 15 माईल से फुसरी इन्दरा होते हुए ढुभा (जरबा) नाला तक पथ निर्माण परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","प्रखण्ड-चुरचू अन्तर्गत 15 माईल से फुसरी इन्दरा होते हुए ढुभा (जरबा) नाला तक पथ निर्माण परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के चर्च यू यू में हो रहा है। प्रस्तुत परियोजना का उद्देश्य प्रखण्ड-चुरचू अन्तर्गत 15 माईल से फुसरी इन्दरा होते हुए ढुभा (जरबा) नाला तक पथ निर्माण है। परियोजना के लिए सिफारिश की गई राशि 9,003,900 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project Middle School, Miscellaneous work for the middle school, pet.In Keredari, under the jurisdiction of Barkagaon?","The middle school, various works for upgradation of Peto.Project involves the allocation of funds for development in keredari, under the jurisdiction of Barkagaon.The proposed project aims to middle school, diverse work for upgradation of peto.The recommended Amount for the Project is 8,811,300, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","मध्य विद्यालय, पेटो के उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","मध्य विद्यालय, पेटो के उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य मध्य विद्यालय, पेटो के उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 8,811,300 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project Gradual Work for the upgradation of Jordag.In Keredari, under the jurisdiction of Barkagaon?","The northern middle school, various works for upgradation of Zoradag.Project involves the allocation of funds for development in keredari, under the jurisdiction of Barkagaon.The proposed project aims to excellent middle school, various works for upgradation of Zoradag.The recommended Amount for the Project is 14,253,300, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","उत्क्रमित मध्य विद्यालय, जोरदाग के उन्नयन हेतु विविध कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","उत्क्रमित मध्य विद्यालय, जोरदाग के उन्नयन हेतु विविध कार्य। परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य उत्क्रमित मध्य विद्यालय, जोरदाग के उन्नयन हेतु विविध कार्य। है। परियोजना के लिए सिफारिश की गई राशि 14,253,300 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project of the Project Block-Chauparan under the block-chaupa-chauparan, the village Barwadih Rho Road in Chowperan The jurisdiction ofBarhi?","The road construction from village Barwadih REO Road to Gayaphari under the block-chauparan, Project Involves The Allocation of Funds for Development in Chouparan, under the jurisdication of Barhi.Construction of road from village Barwadih REO Road to Gayphari of Panchayat Rampur under the Block-Chauparan.The recommended Amount for the Project is 9,821,928, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","प्रखण्ड-चौपारण अन्तर्गत पंचायत रामपुर के ग्राम बरवाडीह आरईओ रोड से गयपहरी तक पथ निर्माण परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","प्रखण्ड-चौपारण अन्तर्गत पंचायत रामपुर के ग्राम बरवाडीह आरईओ रोड से गयपहरी तक पथ निर्माण परियोजना में विकास के लिए धन का आवंटन बरही क्षेत्र के हुपानन में हो रहा है। प्रस्तुत परियोजना का उद्देश्य प्रखण्ड-चौपारण अन्तर्गत पंचायत रामपुर के ग्राम बरवाडीह आरईओ रोड से गयपहरी तक पथ निर्माण है। परियोजना के लिए सिफारिश की गई राशि 9,821,928 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
